pair_id,layer_id,feature_boundary,episode_id,step_id,app,hit_type,pixel_changed_ratio,feature_metric,threshold,feature_changed_ratio,feature_source,feature_token_count,visual_token_count,visual_token_grid,processor_merge_size,alignment_method,page_tile_unchanged_ratio,changed_region_feature_mean,unchanged_region_feature_mean,error
pair_000052,final,model_ready_visual,4191,4,,patch_candidate,0.078125,cosine_distance,0.005,0.20159151193633953,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.921875,0.020185710752711576,0.00770924789912499,
pair_000053,final,model_ready_visual,4211,8,,patch_candidate,0.140625,cosine_distance,0.005,0.17771883289124668,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.859375,0.05505822186774396,0.006507197293368253,
pair_000054,final,model_ready_visual,4211,10,,patch_candidate,0.1484375,cosine_distance,0.005,0.44297082228116713,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.8515625,0.13416017788761067,0.03076481212068487,
pair_000055,final,model_ready_visual,4211,12,,near,0.03125,cosine_distance,0.005,0.10610079575596817,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.96875,0.02793949842453003,0.004098147314948005,
pair_000056,final,model_ready_visual,4211,13,,near,0.03125,cosine_distance,0.005,0.08222811671087533,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.96875,0.04736087918281555,0.004321931493379764,
pair_000057,final,model_ready_visual,4311,4,,patch_candidate,0.0546875,cosine_distance,0.005,0.19363395225464192,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.9453125,0.037700358778238297,0.007580419326422947,
pair_000058,final,model_ready_visual,4331,2,,near,0.015625,cosine_distance,0.005,0.026525198938992044,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.984375,0.011293802942548479,0.0009981756274764601,
pair_000059,final,model_ready_visual,4571,3,,near,0.015625,cosine_distance,0.005,0.026525198938992044,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.984375,0.03293837819780622,0.0006576634742118217,
pair_000060,final,model_ready_visual,4591,4,,near,0.0078125,cosine_distance,0.005,0.013262599469496022,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.9921875,0.009095713496208191,0.00024601920999726403,
pair_000061,final,model_ready_visual,4733,1,,near,0.015625,cosine_distance,0.005,0.01856763925729443,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.984375,0.013345688581466675,0.0005608186645098729,
pair_000062,final,model_ready_visual,4954,4,,near,0.0078125,cosine_distance,0.005,0.005305039787798408,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.9921875,0.02282533049583435,8.921201363325758e-05,
pair_000063,final,model_ready_visual,5054,5,,near,0.0234375,cosine_distance,0.005,0.03713527851458886,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.9765625,0.02742614597082138,0.00046041195954733745,
pair_000064,final,model_ready_visual,5174,1,,near,0.0078125,cosine_distance,0.005,0.023872679045092837,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.9921875,0.01804324984550476,0.00044402024701197727,
pair_000065,final,model_ready_visual,5475,3,,near,0.0234375,cosine_distance,0.005,0.07397959183673469,model.visual.merger,392,392,"[28, 14]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.9765625,0.05375925203164419,0.0023553735331485145,
